batch_id,wave,lane,title,goal,depends_on_batch_ids,mechanic_ids,owned_paths,plan_refs,verification_gates,verification_steps,prompt_hints
progression-service-boundary-split,1,progression,Split progression service into stable submodules,"Remove the remaining server-side serial bottleneck by extracting progression preview, commit, runtime projection, and helper queries into dedicated files.",,progression-spend-plan-preview | progression-class-level-commit | progression-canonical-source-commit | progression-spell-access-commit,app/src/server/progression/service.ts | app/src/server/progression/ | app/src/server/progression/*.test.ts,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md,runtime | tests,"`pnpm check` passes. | `pnpm test` passes. | No behavior regressions in spend-plan parse, preview, commit, or runtime projection tests. | Each exported progression operation lives in a focused module with a small public surface.",Own only `app/src/server/progression/**` and the listed test file. | Prefer extraction and naming cleanup over behavioral changes. | Leave mechanic status untouched unless the batch materially changes functionality.
content-roster-srd-expansion,1,content,Expand SRD roster-critical canon,"Finish the SRD canon needed by the seeded roster and by the immediate runtime batches: spells, class features, feats, species, and equipment actually in play.",,spell-lookup-by-id | spell-lookup-by-name-alias | spell-roster-canon-coverage | spell-slot-pools-from-class-features | spell-pact-magic-progression | feature-primal-order-warden | feature-second-wind-surface | feature-bardic-inspiration-surface | feature-font-of-magic-points | species-drow-lineage-spells | species-wood-elf-druidcraft,content/canon/packs/srd-5e-2024/spells/ | content/canon/packs/srd-5e-2024/class-features/ | content/canon/packs/srd-5e-2024/classes/ | content/canon/packs/srd-5e-2024/feats/ | content/canon/packs/srd-5e-2024/species/ | content/canon/packs/srd-5e-2024/equipment/ | library/tests/canon/srd-roster-batch.test.ts,docs/plans/active/003-canonical-content-architecture.md | docs/plans/active/005-execution-roadmap.md | docs/plans/active/006-agent-content-factory.md | docs/plans/active/007-ruleset-pack-model.md,canon | tests | fixtures | live-roster,"`pnpm compile` passes. | Converted entity counts match the batch manifest. | Runtime lookup resolves the roster-critical entities without fallback notes. | At least one straightforward, one edge-case, and one cross-reference entity are spot-checked.",Treat canonical files as source of truth; do not edit generated outputs by hand. | Flag every judgment call in canonical metadata when modernization is required. | Do not widen scope to monsters or non-roster content in this batch.
content-aa-overlay-expansion,1,content,Expand AA overlays and AA ability canon,Increase AA coverage around the roster and immediate hybrid-progression path while preserving explicit judgment metadata and pack provenance.,,spell-enabled-pack-visibility | spell-origin-choice-capture | spell-roster-canon-coverage,content/canon/packs/advanced-adventurers/ | library/tests/canon/aa-overlay-batch.test.ts,docs/plans/active/005-execution-roadmap.md | docs/plans/active/006-agent-content-factory.md | docs/plans/active/007-ruleset-pack-model.md,canon | tests | fixtures,`pnpm compile` passes. | Every AA modernization that is not a direct carry-over is marked as a judgment call. | Overlay references and derived-from references resolve cleanly. | Enabled-pack lookup exposes AA entities only when the pack is enabled.,Own only the AA pack directory plus compile-adjacent validation touched by AA coverage. | Do not edit SRD base files unless a validator change truly requires it. | Keep AA content additive; do not fork the runtime around AA-specific branches.
verification-harness-and-live-snapshots,1,verification,Build the acceptance and status harness,"Turn status changes into evidence by adding live-roster snapshot checks, fixture coverage, and report generation that agents can update safely.",,core-skill-bonus-derivation | core-passive-perception-derivation | spell-roster-canon-coverage,data/mechanics-coverage/ | data/fleet/ | docs/reports/ | scripts/report-mechanics-coverage.ts | scripts/report-fleet-readiness.ts | worklog.md,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/010-fleet-execution-model.md,tests | fixtures | live-roster,Tracker and fleet reports generate deterministically. | A live-roster snapshot command exists and is documented. | Status flips from `partial` to `full` require linked evidence in tests or snapshots. | The worklog records the new baseline and next-wave assignments.,This batch owns the reporting artifacts and status bookkeeping. | Do not mark mechanics `full` just because content exists; require runtime and evidence. | Prefer machine-generated docs over hand-edited status tables.
choice-state-and-equipment-persistence,2,progression,Add choice-state and equipment persistence,"Persist skill picks, feat picks, spell picks, owned equipment, and equipped state so runtime can stop relying on sheet baselines.",progression-service-boundary-split,core-skill-choice-capture | feat-magic-initiate-choice-capture | feat-skilled-choice-capture | action-equipment-persistence | action-equipped-state-persistence | action-weapon-mastery-choice-capture | feature-metamagic-option-capture | feature-pact-blade-bond-state,app/src/server/db/schema/choice-state.ts | app/src/server/progression/choice-service.ts | app/src/server/progression/choice-state.ts | app/drizzle/ | data/real-campaign-intake/verified-characters.json | app/src/server/db/seed-real-campaign.ts,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md,persistence | mutation | tests | fixtures | live-roster,New schema and migrations apply cleanly. | Seeded characters can be reseeded idempotently with structured choices and equipment state. | Runtime projection no longer needs note-only fallbacks for the covered choices. | At least one roster character proves each new choice-state bucket.,Keep the write scope inside progression schema/service and seed data. | Prefer additive tables or columns that preserve auditability over opaque JSON blobs. | Do not mix UI work into this batch.
runtime-skill-and-passive-loop,2,runtime,"Close the skill, expertise, and passive loop","Use persisted choices to derive full skill state, expertise, and passives from sources rather than photographed baselines.",choice-state-and-equipment-persistence,core-skill-proficiency-grants | core-skill-bonus-derivation | core-expertise-grants | core-passive-perception-derivation,library/src/engine/proficiencies.ts | library/src/types/character.ts | library/tests/engine/proficiencies.test.ts | data/real-campaign-intake/verified-characters.json,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md,runtime | explainability | tests | live-roster,Computed skill values and passives match the reviewed roster for covered characters. | Explanations cite the exact source rows or canonical entities that produced the result. | No covered character still needs a skill or passive baseline override.,"Own only the proficiencies module, related runtime types, tests, and roster fixtures. | Keep the output explainable; do not hide fallback numbers in opaque payloads. | Update statuses only for the mechanics explicitly covered here."
resource-spend-and-rest-engine,2,runtime,"Add resource spend, restore, and rest reset flows",Make resources stateful and recoverable so session use stops depending on paper tracking.,progression-service-boundary-split,action-fixed-resource-pools | action-scaling-resource-pools | action-resource-spend-mutation | action-resource-restore-mutation | action-short-rest-reset-engine | action-long-rest-reset-engine | rules-rest-flow-event-recording,app/src/server/db/schema/resource-pools.ts | app/src/server/progression/resource-service.ts | app/src/server/progression/rest-service.ts | app/src/server/progression/resource-state.ts | library/src/engine/traits-and-resources.ts | library/src/types/character.ts | library/tests/engine/resources.test.ts,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md,persistence | runtime | mutation | tests | fixtures | live-roster,Resources have current/max state persisted outside sheet notes. | Short and long rest flows reset the right pools and record an event. | At least one live character proves short-rest recovery and one proves long-rest recovery.,"Keep this batch centered on resource state and rest semantics, not attack or spell resolution. | If a feature needs a resource but not full execution, land the state model first. | Preserve auditability of every spend and reset action."
runtime-ac-and-attack-foundation,3,runtime,"Derive AC, equipment effects, and attack profiles from equipped state",Replace AC fallbacks and add real attack surfaces for weapons and similar actions.,choice-state-and-equipment-persistence | content-roster-srd-expansion,core-ac-base-fallback | core-ac-formula-selection | core-equipped-armor-and-shield-ac | action-armor-effect-application | action-weapon-effect-application | action-melee-attack-profiles | action-ranged-attack-profiles | action-damage-package-projection | action-weapon-mastery-runtime,library/src/engine/defenses.ts | library/src/engine/attack-profiles.ts | library/src/types/character.ts | library/tests/engine/attacks.test.ts | content/canon/packs/srd-5e-2024/equipment/,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md,runtime | explainability | tests | fixtures | live-roster,"AC is fully explained from equipped items and formulas for covered characters. | Weapon attacks show derived attack bonus, damage, and relevant tags. | Weapon Mastery appears only when the character has both the feature and a valid weapon context.",Keep this batch focused on equipment-to-runtime projection. | Do not implement full combat sequencing here; build derived attack surfaces first. | Use roster equipment before broad compendium breadth.
runtime-slot-capacity-and-cast-state,3,runtime,"Finish slot, capacity, and cast-state mechanics",Model spell capacities and cast-state so players can use spellcasting without external references.,progression-service-boundary-split | content-roster-srd-expansion | content-aa-overlay-expansion | resource-spend-and-rest-engine,spell-access-grants | spell-origin-choice-capture | spell-slot-pools-from-class-features | spell-pact-magic-progression | spell-prepared-capacity-grants | spell-known-capacity-grants | spell-capacity-enforcement | spell-slot-spend-mutation | spell-free-cast-state,library/src/engine/spellcasting.ts | library/src/types/character.ts | app/src/server/progression/ | library/tests/engine/spellcasting.test.ts | content/canon/packs/srd-5e-2024/class-features/ | content/canon/packs/srd-5e-2024/spells/ | content/canon/packs/advanced-adventurers/,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md | docs/plans/active/007-ruleset-pack-model.md,runtime | persistence | mutation | tests | fixtures | live-roster,Known/prepared capacities are derived for covered classes. | Cast actions consume the right slot or free-cast state. | At least one live character proves pact slots and one proves standard slots.,"Keep this batch centered on spell state, not full damage/healing resolution. | Use pack-aware provenance for every spell-state source. | Avoid hardcoding AA branches; read enabled packs and canon metadata."
condition-state-and-dm-overrides,3,rules,"Add condition state, mechanical effects, and DM overrides","Make conditions real character state that the DM can apply, clear, and trust.",progression-service-boundary-split,rules-condition-state-engine | rules-condition-apply-remove | rules-charmed-effects | rules-incapacitated-effects | rules-dm-condition-override,content/canon/packs/srd-5e-2024/conditions/ | app/src/server/db/schema/conditions.ts | app/src/server/progression/condition-service.ts | app/src/server/progression/condition-state.ts | library/src/engine/conditions.ts | library/src/types/character.ts | library/tests/engine/conditions.test.ts,docs/plans/active/004-tabletop-completion-definition.md | docs/plans/active/005-execution-roadmap.md,persistence | runtime | mutation | tests | fixtures | live-roster,"Conditions are persisted as explicit state, not note text. | Charmed and Incapacitated have observable mechanical effects in runtime output. | DM override and correction flows are audited.",Keep the first pass narrow to Charmed and Incapacitated rather than every condition. | A DM mutation path is required; descriptive traits are not enough. | Document how condition state interacts with future spell resolution.
